title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
High-Tech World,radio,机器人技术,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,A,
,radio,太空探索,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,B,
,radio,基因改造食物,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,C,
,radio,平面屏幕,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,D,
,radio,使用权；进入权,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,E,
,radio,转化,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,F,
,radio,安装,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,G,
,radio,操控；处理,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,H,
,radio,沟通,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,I,
,radio,发展中国家,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,J,
,radio,发达国家,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,K,
,radio,特价,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,L,
,radio,递送,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,M,
,radio,面对面的,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,N,
,radio,数码的,robotics,space exploration,GM food,flat screen,access,convert,install,manipulate,communication,developing country,developed country,special offer,deliver,face-to-face,digital,O,
