title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
It's Personal!,radio,继母,stepmother,stepsister,biological parents,household chores,make your bed,wash the dishes,do the laundry,dust the furniture,sweep,mop,A,
,radio,继姐妹,stepmother,stepsister,biological parents,household chores,make your bed,wash the dishes,do the laundry,dust the furniture,sweep,mop,B,
,radio,亲生父母,stepmother,stepsister,biological parents,household chores,make your bed,wash the dishes,do the laundry,dust the furniture,sweep,mop,C,
,radio,家务,stepmother,stepsister,biological parents,household chores,make your bed,wash the dishes,do the laundry,dust the furniture,sweep,mop,D,
,radio,整理床铺,stepmother,stepsister,biological parents,household chores,make your bed,wash the dishes,do the laundry,dust the furniture,sweep,mop,E,
,radio,洗碗,stepmother,stepsister,biological parents,household chores,make your bed,wash the dishes,do the laundry,dust the furniture,sweep,mop,F,
,radio,洗衣服,stepmother,stepsister,biological parents,household chores,make your bed,wash the dishes,do the laundry,dust the furniture,sweep,mop,G,
,radio,擦家具灰尘,stepmother,stepsister,biological parents,household chores,make your bed,wash the dishes,do the laundry,dust the furniture,sweep,mop,H,
,radio,扫地,stepmother,stepsister,biological parents,household chores,make your bed,wash the dishes,do the laundry,dust the furniture,sweep,mop,I,
,radio,拖地,stepmother,stepsister,biological parents,household chores,make your bed,wash the dishes,do the laundry,dust the furniture,sweep,mop,J,
,radio,整理,tidy,mess,rubbish bin,lend a hand,run errands,biological parents,household chores,make your bed,wash the dishes,do the laundry,A,
,radio,凌乱,tidy,mess,rubbish bin,lend a hand,run errands,biological parents,household chores,make your bed,wash the dishes,do the laundry,B,
,radio,垃圾桶,tidy,mess,rubbish bin,lend a hand,run errands,biological parents,household chores,make your bed,wash the dishes,do the laundry,C,
,radio,帮忙,tidy,mess,rubbish bin,lend a hand,run errands,biological parents,household chores,make your bed,wash the dishes,do the laundry,D,
,radio,办杂事,tidy,mess,rubbish bin,lend a hand,run errands,biological parents,household chores,make your bed,wash the dishes,do the laundry,E,
