title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
It's Personal!,radio,尽自己的本分,do your fair share,not lift a finger,put your feet up,get along,argue,criticise,gossip,frustrated,respectful,miserable,A,
,radio,一点忙也不帮,do your fair share,not lift a finger,put your feet up,get along,argue,criticise,gossip,frustrated,respectful,miserable,B,
,radio,休息放松,do your fair share,not lift a finger,put your feet up,get along,argue,criticise,gossip,frustrated,respectful,miserable,C,
,radio,相处融洽,do your fair share,not lift a finger,put your feet up,get along,argue,criticise,gossip,frustrated,respectful,miserable,D,
,radio,争吵,do your fair share,not lift a finger,put your feet up,get along,argue,criticise,gossip,frustrated,respectful,miserable,E,
,radio,批评,do your fair share,not lift a finger,put your feet up,get along,argue,criticise,gossip,frustrated,respectful,miserable,F,
,radio,讲闲话,do your fair share,not lift a finger,put your feet up,get along,argue,criticise,gossip,frustrated,respectful,miserable,G,
,radio,沮丧的,do your fair share,not lift a finger,put your feet up,get along,argue,criticise,gossip,frustrated,respectful,miserable,H,
,radio,尊重人的,do your fair share,not lift a finger,put your feet up,get along,argue,criticise,gossip,frustrated,respectful,miserable,I,
,radio,痛苦的,do your fair share,not lift a finger,put your feet up,get along,argue,criticise,gossip,frustrated,respectful,miserable,J,
