title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,answer,image
Life's Great Mysteries,radio,谜团,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,A,
,radio,乌鸦,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,B,
,radio,满月,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,C,
,radio,坟墓,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,D,
,radio,灵魂,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,E,
,radio,鬼魂,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,F,
,radio,外星人,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,G,
,radio,吸血鬼,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,H,
,radio,女巫,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,I,
,radio,仙子,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,J,
,radio,军事基地,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,K,
,radio,最高机密的,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,L,
,radio,坠毁,mystery,crow,full moon,grave,spirit,ghost,alien,vampire,witch,fairy,military base,top-secret,crash,M,
