title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
Getting Away,radio,旅行,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,A,
,radio,旅程,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,B,
,radio,短假；外出度假,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,C,
,radio,国外,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,D,
,radio,国家,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,E,
,radio,城市,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,F,
,radio,酒店,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,G,
,radio,机场,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,H,
,radio,航班,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,I,
,radio,护照,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,J,
,radio,票,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,K,
,radio,行李,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,L,
,radio,手提箱,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,M,
,radio,地图,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,N,
,radio,游客,travel,trip,getaway,abroad,country,city,hotel,airport,flight,passport,ticket,luggage,suitcase,map,tourist,O,
